drug_name,drug_name_en,drug_synonyms,targets,mechanism_of_action,research_institution,drug_category_1,drug_category_2,drug_category_3,drug_tag,pharmacological_type,global_highest_phase_indication,global_highest_phase_indication_start_date,global_development_status,disease_area,npuid,originator_country,highest_phase_indication_standard,global_highest_phase_all_indication,global_highest_phase_all_indication_date,global_highest_phase_all_indication_standard,research_institution_count,is_cyclic_peptide,is_rare_disease,is_top20_mnc,top20_mnc_list,originator_company_list,count_originator,research_institution_list,therapeutic_area_list,count_therapeutic_area,therapeutic_area_primary,therapeutic_area_secondary,therapeutic_area_tertiary,global_highest_phase_all_indication_sort_val,highest_phase_standard_sort_val,therapeutic_area_primary_en,therapeutic_area_secondary_en,therapeutic_area_tertiary_en,indications_json
环孢素A眼凝胶,cyclosporine A ophthalmic gel,环孢素A眼凝胶;cyclosporine A ophthalmic gel,CaN;NTCP;Cyp,NTCP抑制剂;CaN×Cyp分子胶,兆科眼科(原研),微创新,化药,多肽,环肽;胆汁酸通路;非降解型分子胶,抑制剂;分子胶,申请上市,2022/6/9,Active,眼科领域,DR049927,中国(内地),pre-registration,申请上市,2022/6/9,pre-registration,1,TRUE,FALSE,FALSE,[],['兆科眼科'],1,['兆科眼科(原研)'],['眼科领域'],1,眼科领域,,,4,4,Ophthalmology,,,"[{""indication"": ""干眼病"", ""indication_en"": ""dry eye disease"", ""therapeutic_area"": ""眼科领域"", ""therapeutic_area_en"": ""Ophthalmology"", ""highest_phase"": ""pre-registration"", ""highest_phase_sort_val"": 4}]"
放线菌素D,dactinomycin,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,DNA,放线菌素抗生素,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),创新药,化药,其他,环肽;First-in-Class,放线菌素抗生素,批准上市,,Active,罕见疾病领域;肿瘤领域,DR001704,欧洲,approved,批准上市,1964/12/10,approved,3,TRUE,TRUE,FALSE,[],['Recordati Rare Diseases'],1,"['Recordati Rare Diseases(原研)', 'Tiziana Life Sciences', 'Rasna(无权益)']",['肿瘤领域'],1,肿瘤领域,,,5,5,Oncology,,,"[{""indication"": ""肾母细胞瘤"", ""indication_en"": ""nephroblastoma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""横纹肌肉瘤"", ""indication_en"": ""rhabdomyosarcoma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""睾丸癌"", ""indication_en"": ""testicular cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""尤文氏肉瘤"", ""indication_en"": ""Ewing's sarcoma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""妊娠滋养细胞肿瘤"", ""indication_en"": ""gestational trophoblastic tumor"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}]"
达托霉素,daptomycin,达托霉素;daptomycin;Cubicin;克必信;MK-3009;LY146032;Cidecin,not available,脂肽类抗生素,Gilead Sciences(Top20 MNC);Eli Lilly(Top20 MNC)(原研);Cubist Pharmaceuticals(Merck & Co.)(Top20 MNC),创新药,化药,多肽,环肽;First-in-Class;差异化疾病,脂肽类抗生素,批准上市,,Active,感染领域;皮肤领域,DR038793,美国,approved,批准上市,2003/9/12,approved,3,TRUE,FALSE,TRUE,"['Gilead Sciences', 'Eli Lilly', 'Cubist Pharmaceuticals(Merck & Co.)']",['Eli Lilly'],1,"['Gilead Sciences(Top20 MNC)', 'Eli Lilly(Top20 MNC)(原研)', 'Cubist Pharmaceuticals(Merck & Co.)(Top20 MNC)']","['感染领域', '皮肤领域']",2,感染领域,皮肤领域,,5,5,Infectious Diseases,Dermatology,,"[{""indication"": ""皮肤/皮肤结构感染"", ""indication_en"": ""Skin/skin structure infection"", ""therapeutic_area"": ""感染领域"", ""therapeutic_area_en"": ""Infectious Diseases"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""菌血症"", ""indication_en"": ""bacteremia"", ""therapeutic_area"": ""感染领域"", ""therapeutic_area_en"": ""Infectious Diseases"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""细菌性心内膜炎"", ""indication_en"": ""bacterial endocarditis"", ""therapeutic_area"": ""感染领域"", ""therapeutic_area_en"": ""Infectious Diseases"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}]"
地西卢定,desirudin,地西卢定;desirudin;Iprivask;recombinant desulphatohirudin;CGP 39393;地西芦定,thrombin;hirudin,hirudin类似物;thrombin抑制剂,Novartis(Top20 MNC)(原研);Kacefa,创新药,生物,多肽,环肽;差异化疾病,抑制剂;类似物,批准上市,2003/4/4,Active,心脑血管领域,DR044002,欧洲,approved,批准上市,1997/7/8,approved,2,TRUE,FALSE,TRUE,['Novartis'],['Novartis'],1,"['Novartis(Top20 MNC)(原研)', 'Kacefa']",['心脑血管领域'],1,心脑血管领域,,,5,5,Cardiovascular & Cerebrovascular,,,"[{""indication"": ""深静脉血栓"", ""indication_en"": ""deep vein thrombosis"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""肺栓塞"", ""indication_en"": ""pulmonary embolism"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""髋关节置换术"", ""indication_en"": ""hip replacement"", ""therapeutic_area"": ""骨骼肌肉领域"", ""therapeutic_area_en"": ""Musculoskeletal"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}]"
去氨加压素,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,批准上市,,Active,感染领域;泌尿生殖领域,DR032515,欧洲,approved,批准上市,1978/2/21,approved,2,TRUE,FALSE,FALSE,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']","['感染领域', '泌尿生殖领域']",2,感染领域,泌尿生殖领域,,5,5,Infectious Diseases,Genitourinary,,"[{""indication"": ""肾盂肾炎"", ""indication_en"": ""Pyelonephritis"", ""therapeutic_area"": ""感染领域"", ""therapeutic_area_en"": ""Infectious Diseases"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""A型血友病"", ""indication_en"": ""Hemophilia A"", ""therapeutic_area"": ""血液领域"", ""therapeutic_area_en"": ""Hematology"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""血管性血友病"", ""indication_en"": ""von Willebrand disease"", ""therapeutic_area"": ""血液领域"", ""therapeutic_area_en"": ""Hematology"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""血小板减少症"", ""indication_en"": ""Thrombocytopenia"", ""therapeutic_area"": ""血液领域"", ""therapeutic_area_en"": ""Hematology"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""中枢性尿崩症"", ""indication_en"": ""central diabetes insipidus"", ""therapeutic_area"": ""内分泌及代谢领域"", ""therapeutic_area_en"": ""Endocrinology & Metabolism"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""遗尿症"", ""indication_en"": ""enuresis"", ""therapeutic_area"": ""精神领域"", ""therapeutic_area_en"": ""Psychiatry"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""肝硬化"", ""indication_en"": ""Cirrhosis"", ""therapeutic_area"": ""消化领域"", ""therapeutic_area_en"": ""Digestive System"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""膀胱炎"", ""indication_en"": ""Cystitis"", ""therapeutic_area"": ""泌尿生殖领域"", ""therapeutic_area_en"": ""Genitourinary"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""尿频"", ""indication_en"": ""Frequent urination"", ""therapeutic_area"": ""泌尿生殖领域"", ""therapeutic_area_en"": ""Genitourinary"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""出血"", ""indication_en"": ""Bleeding"", ""therapeutic_area"": ""其他领域"", ""therapeutic_area_en"": ""Others"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""夜尿症"", ""indication_en"": ""Nocturia"", ""therapeutic_area"": ""泌尿生殖领域"", ""therapeutic_area_en"": ""Genitourinary"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""低钠血症"", ""indication_en"": ""Hyponatremia"", ""therapeutic_area"": ""内分泌及代谢领域"", ""therapeutic_area_en"": ""Endocrinology & Metabolism"", ""highest_phase"": ""phase 3"", ""highest_phase_sort_val"": 3}, {""indication"": ""维生素D缺乏"", ""indication_en"": ""Vitamin D deficiency"", ""therapeutic_area"": ""内分泌及代谢领域"", ""therapeutic_area_en"": ""Endocrinology & Metabolism"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""低血压"", ""indication_en"": ""hypotension"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}]"
艾卡拉肽,ecallantide,艾卡拉肽;ecallantide;Kalbitor;DX-88;FOV2302,PKK,PKK抑制剂,Dyax(Takeda Pharmaceuticals)(Top20 MNC)(原研);CVie Therapeutics(Windtree Therapeutics);Fovea Pharmaceuticals(Sanofi)(Top20 MNC),创新药,生物,多肽,环肽;First-in-Class;差异化疾病;中国无申报,抑制剂,批准上市,2009/12/1,Active,皮肤领域;罕见疾病领域,DR003372,美国,approved,批准上市,2009/12/1,approved,3,TRUE,TRUE,TRUE,"['Dyax(Takeda Pharmaceuticals)', 'Fovea Pharmaceuticals(Sanofi)']",['Dyax(Takeda Pharmaceuticals)'],1,"['Dyax(Takeda Pharmaceuticals)(Top20 MNC)(原研)', 'CVie Therapeutics(Windtree Therapeutics)', 'Fovea Pharmaceuticals(Sanofi)(Top20 MNC)']",['皮肤领域'],1,皮肤领域,,,5,5,Dermatology,,,"[{""indication"": ""遗传性血管性水肿"", ""indication_en"": ""hereditary angioedema"", ""therapeutic_area"": ""皮肤领域"", ""therapeutic_area_en"": ""Dermatology"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""ACE抑制剂引起的血管性水肿"", ""indication_en"": ""Angioedema caused by ACE inhibitors"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}]"
emodepside,emodepside,emodepside;BAY 44-4400,not available,,Bayer(Top20 MNC);Astellas Pharma(Top20 MNC)(原研);DNDi,创新药,化药,小分子,环肽;中国无申报,其他,III期临床,2024/12/17,Active,感染领域,DR066507,日本,phase 3,III期临床,2024/12/17,phase 3,3,TRUE,FALSE,TRUE,"['Bayer', 'Astellas Pharma']",['Astellas Pharma'],1,"['Bayer(Top20 MNC)', 'Astellas Pharma(Top20 MNC)(原研)', 'DNDi']",['感染领域'],1,感染领域,,,3,3,Infectious Diseases,,,"[{""indication"": ""蛔虫病"", ""indication_en"": ""Ascariasis"", ""therapeutic_area"": ""感染领域"", ""therapeutic_area_en"": ""Infectious Diseases"", ""highest_phase"": ""phase 3"", ""highest_phase_sort_val"": 3}, {""indication"": ""钩虫病"", ""indication_en"": ""hookworm disease"", ""therapeutic_area"": ""感染领域"", ""therapeutic_area_en"": ""Infectious Diseases"", ""highest_phase"": ""phase 3"", ""highest_phase_sort_val"": 3}, {""indication"": ""鞭虫病"", ""indication_en"": ""Trichuris"", ""therapeutic_area"": ""感染领域"", ""therapeutic_area_en"": ""Infectious Diseases"", ""highest_phase"": ""phase 3"", ""highest_phase_sort_val"": 3}, {""indication"": ""类圆线虫病"", ""indication_en"": ""strongyloidiasis"", ""therapeutic_area"": ""感染领域"", ""therapeutic_area_en"": ""Infectious Diseases"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""盘尾丝虫病"", ""indication_en"": ""onchocerciasis"", ""therapeutic_area"": ""感染领域"", ""therapeutic_area_en"": ""Infectious Diseases"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}]"
enlicitide,enlicitide,enlicitide;MK-0616;[14C]MK-0616;[14C]enlicitide;enlicitide decanoate,PCSK9,PCSK9抑制剂,Merck & Co.(Top20 MNC)(原研),创新药,化药,多肽,环肽;2021年转化医学TOP25;Potential First-in-Class,抑制剂,III期临床,2025/11/19,Active,心脑血管领域,DR041755,美国,phase 3,III期临床,2023/7/19,phase 3,1,TRUE,FALSE,TRUE,['Merck & Co.'],['Merck & Co.'],1,['Merck & Co.(Top20 MNC)(原研)'],['心脑血管领域'],1,心脑血管领域,,,3,3,Cardiovascular & Cerebrovascular,,,"[{""indication"": ""血脂异常"", ""indication_en"": ""dyslipidemia"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""phase 3"", ""highest_phase_sort_val"": 3}, {""indication"": ""高胆固醇血症"", ""indication_en"": ""hypercholesterolemia"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""phase 3"", ""highest_phase_sort_val"": 3}, {""indication"": ""家族性高胆固醇血症"", ""indication_en"": ""familial hypercholesterolemia"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""phase 3"", ""highest_phase_sort_val"": 3}, {""indication"": ""心血管风险"", ""indication_en"": ""cardiovascular risk"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""phase 3"", ""highest_phase_sort_val"": 3}, {""indication"": ""杂合子型家族性高胆固醇血症"", ""indication_en"": ""Heterozygous familial hypercholesterolemia"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""phase 3"", ""highest_phase_sort_val"": 3}, {""indication"": ""动脉粥样硬化性心血管疾病"", ""indication_en"": ""atherosclerotic cardiovascular disease"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""phase 3"", ""highest_phase_sort_val"": 3}]"
依替巴肽,eptifibatide,依替巴肽;eptifibatide;依非巴特;依替非巴肽;爱啡肽;Integrilin;eptifibitide,GPIIb/IIIa,GPIIb/IIIa抑制剂,Millennium Pharmaceuticals(Takeda Pharmaceuticals)(Top20 MNC)(原研);Schering-Plough(Merck & Co.)(Top20 MNC),创新药,化药,多肽,环肽;差异化疾病,抑制剂,批准上市,,Active,心脑血管领域,DR028356,美国,approved,批准上市,1998/5/18,approved,2,TRUE,FALSE,TRUE,"['Millennium Pharmaceuticals(Takeda Pharmaceuticals)', 'Schering-Plough(Merck & Co.)']",['Millennium Pharmaceuticals(Takeda Pharmaceuticals)'],1,"['Millennium Pharmaceuticals(Takeda Pharmaceuticals)(Top20 MNC)(原研)', 'Schering-Plough(Merck & Co.)(Top20 MNC)']",['心脑血管领域'],1,心脑血管领域,,,5,5,Cardiovascular & Cerebrovascular,,,"[{""indication"": ""血栓(抗凝或抗血小板)"", ""indication_en"": ""Thrombosis (anticoagulant or antiplatelet)"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""经皮冠状动脉介入治疗"", ""indication_en"": ""percutaneous coronary intervention"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""急性冠脉综合征"", ""indication_en"": ""acute coronary syndrome"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""心肌梗塞"", ""indication_en"": ""myocardial infarction"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""缺血性卒中"", ""indication_en"": ""ischemic stroke"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""phase 3"", ""highest_phase_sort_val"": 3}, {""indication"": ""不稳定性心绞痛"", ""indication_en"": ""unstable angina"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""phase 3"", ""highest_phase_sort_val"": 3}]"
苯赖加压素,felypressin,苯赖加压素;felypressin;Octapressin,vasopressin,vasopressin类似物,Sandoz(原研),创新药,化药,多肽,环肽;差异化疾病,类似物,批准上市,,Active,麻醉镇痛领域,DR051774,欧洲,approved,批准上市,,approved,1,TRUE,FALSE,FALSE,[],['Sandoz'],1,['Sandoz(原研)'],['麻醉镇痛领域'],1,麻醉镇痛领域,,,5,5,Anesthesia & Analgesia,,,"[{""indication"": ""局部麻醉"", ""indication_en"": ""local anesthesia"", ""therapeutic_area"": ""麻醉镇痛领域"", ""therapeutic_area_en"": ""Anesthesia & Analgesia"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}]"
夫沙芬净,fusafungin,夫沙芬净;fusafungin;fusafungine;S-314;Bioparox;Locabiotal,not available,,Servier(原研),创新药,化药,小分子,环肽,其他,批准上市,,Active,感染领域;呼吸领域,DR001193,欧洲,approved,批准上市,,approved,1,TRUE,FALSE,FALSE,[],['Servier'],1,['Servier(原研)'],"['感染领域', '呼吸领域']",2,感染领域,呼吸领域,,5,5,Infectious Diseases,Respiratory,,"[{""indication"": ""上呼吸道感染"", ""indication_en"": ""upper respiratory tract infection"", ""therapeutic_area"": ""感染领域"", ""therapeutic_area_en"": ""Infectious Diseases"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}]"
gallium Ga-68 dotatate,gallium Ga-68 dotatate,gallium Ga-68 dotatate;Netspot;Somakit-TATE;68Ga-DOTA TATE;gallium-68 DOTA TATE;Ga-68-DOTATATE;gallium Ga 68-DOTATATE;68Ga-DOTATATE;68Ga-DOTA-TATE;[68Ga]Ga-DOTA-TATE;68Ga-DOTA-octreotate,SSTR,anti-SSTR多肽偶联核素;68Ga标记的PET药物,Advanced Accelerator Applications(Siemens Healthineers)(Top20 MNC)(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;First-in-Class;差异化疾病;诊断用放射性药物,68Ga标记的PET药物;多肽偶联核素,批准上市,,Active,诊断试剂领域,DR009499,欧洲,approved,批准上市,2016/6/1,approved,1,TRUE,FALSE,TRUE,['Advanced Accelerator Applications(Siemens Healthineers)'],['Advanced Accelerator Applications(Siemens Healthineers)'],1,['Advanced Accelerator Applications(Siemens Healthineers)(Top20 MNC)(原研)'],['诊断试剂领域'],1,诊断试剂领域,,,5,5,Diagnostic Reagents,,,"[{""indication"": ""PET显像"", ""indication_en"": ""PET imaging"", ""therapeutic_area"": ""诊断试剂领域"", ""therapeutic_area_en"": ""Diagnostic Reagents"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""神经内分泌肿瘤"", ""indication_en"": ""neuroendocrine tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""HR阳性乳腺癌"", ""indication_en"": ""HR positive breast cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""鼻咽癌"", ""indication_en"": ""Nasopharyngeal cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""小细胞肺癌"", ""indication_en"": ""small cell lung cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}]"
镓[68Ga]氧奥曲肽,gallium [68Ga] oxodotreotide,镓[68Ga]氧奥曲肽;gallium [68Ga] oxodotreotide,SSTR,anti-SSTR多肽偶联核素;68Ga标记的PET药物,Novartis(Top20 MNC)(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;诊断用放射性药物,多肽偶联核素;68Ga标记的PET药物,I/II期临床,2025/6/3,Active,肿瘤领域;罕见疾病领域,DR072714,欧洲,phase 2,I/II期临床,2025/6/3,phase 2,1,TRUE,TRUE,TRUE,['Novartis'],['Novartis'],1,['Novartis(Top20 MNC)(原研)'],['肿瘤领域'],1,肿瘤领域,,,2,2,Oncology,,,"[{""indication"": ""小细胞肺癌"", ""indication_en"": ""small cell lung cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""未知/待定"", ""indication_en"": ""unknown/pending"", ""therapeutic_area"": ""其他领域"", ""therapeutic_area_en"": ""Others"", ""highest_phase"": ""ind"", ""highest_phase_sort_val"": 0}, {""indication"": ""PET显像"", ""indication_en"": ""PET imaging"", ""therapeutic_area"": ""诊断试剂领域"", ""therapeutic_area_en"": ""Diagnostic Reagents"", ""highest_phase"": ""ind"", ""highest_phase_sort_val"": 0}]"
铟[111In]喷曲肽,indium In-111 pentetreotide,铟[111In]喷曲肽;indium In-111 pentetreotide;Octreoscan;In111-pentetréotide;pentetreotide;indium-111 pentetreotide;indium-111-Octreoscan;indium-111 pentreotide;111In-DTPA-octreotide;111In-octreotide,SSTR,含铟放射性示踪剂;anti-SSTR多肽偶联核素,Keenova Therapeutics(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;First-in-Class;诊断用放射性药物,含铟放射性示踪剂;多肽偶联核素,批准上市,2015/9/28,Active,诊断试剂领域,DR020836,欧洲,approved,批准上市,1994/6/2,approved,1,TRUE,FALSE,FALSE,[],['Keenova Therapeutics'],1,['Keenova Therapeutics(原研)'],['诊断试剂领域'],1,诊断试剂领域,,,5,5,Diagnostic Reagents,,,"[{""indication"": ""放射性核素显像"", ""indication_en"": ""radionuclide imaging"", ""therapeutic_area"": ""诊断试剂领域"", ""therapeutic_area_en"": ""Diagnostic Reagents"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""神经内分泌肿瘤"", ""indication_en"": ""neuroendocrine tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}]"
integrin α4β7 program,integrin α4β7 program (Quantum Intelligence),integrin α4β7 program;integrin α4β7 program (Quantum Intelligence),α4β7,α4β7拮抗剂,Quantum Intelligence(原研),创新药,化药,多肽,环肽;中国无申报,拮抗剂,临床前,,Active,免疫领域;消化领域,DR069280,韩国,pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['Quantum Intelligence'],1,['Quantum Intelligence(原研)'],"['免疫领域', '消化领域']",2,免疫领域,消化领域,,-1,-1,Immunology,Digestive System,,"[{""indication"": ""炎症性肠病"", ""indication_en"": ""inflammatory bowel disease"", ""therapeutic_area"": ""免疫领域"", ""therapeutic_area_en"": ""Immunology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
咔喏霉素,kynomycin,咔喏霉素;kynomycin;YB211;YBD211,not available,脂肽类抗生素,友搏药业(九芝堂);香港大学(原研),创新药,化药,多肽,环肽;差异化疾病,脂肽类抗生素,II期临床,2025/3/7,Active,感染领域;皮肤领域,DR049191,中国(港澳台),phase 2,II期临床,2025/3/7,phase 2,2,TRUE,FALSE,FALSE,[],['香港大学'],1,"['友搏药业(九芝堂)', '香港大学(原研)']","['感染领域', '皮肤领域']",2,感染领域,皮肤领域,,2,2,Infectious Diseases,Dermatology,,"[{""indication"": ""急性细菌性皮肤和皮肤结构感染"", ""indication_en"": ""Acute bacterial skin and skin structure infections"", ""therapeutic_area"": ""感染领域"", ""therapeutic_area_en"": ""Infectious Diseases"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""皮肤/皮肤结构感染"", ""indication_en"": ""Skin/skin structure infection"", ""therapeutic_area"": ""感染领域"", ""therapeutic_area_en"": ""Infectious Diseases"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""复杂性皮肤和皮肤结构感染"", ""indication_en"": ""Complicated skin and skin structure infections"", ""therapeutic_area"": ""感染领域"", ""therapeutic_area_en"": ""Infectious Diseases"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""感染"", ""indication_en"": ""Infect"", ""therapeutic_area"": ""感染领域"", ""therapeutic_area_en"": ""Infectious Diseases"", ""highest_phase"": ""ind"", ""highest_phase_sort_val"": 0}]"
